,distancia,peso,cod_origem,cod_destino,peso(toneladas),distância(Km)
2249,3817,4.6,RO,BA,4.6,3817
65,3703,0.2,PE,RS,0.2,3703
693,3488,10,SC,CE,10,3488
525,3438,3.8,RN,SC,3.8,3438
526,3438,3.8,RN,SC,3.8,3438
541,3030,5,MA,SP,5,3030
48,3014,0.15,CE,SP,0.15,3014
594,2985,6,SP,RO,6,2985
370,2982,2,SP,PI,2,2982
148,2979,0.52,RO,SP,0.52,2979
2170,2976,100,GO,RN,100,2976
2171,2976,100,GO,RN,100,2976
2172,2976,100,GO,RN,100,2976
2173,2976,100,GO,RN,100,2976
2174,2976,100,GO,RN,100,2976
1061,2971,16,SP,RO,16,2971
52,2949,0.17,MA,SP,0.17,2949
317,2945,1.5,MA,SP,1.5,2945
191,2931,0.8,MA,SP,0.8,2931
1128,2916,19,RN,SP,19,2916
1129,2916,19,RN,SP,19,2916
1130,2916,19,RN,SP,19,2916
1131,2916,19,RN,SP,19,2916
1071,2908,17,CE,SP,17,2908
1072,2908,17,CE,SP,17,2908
1073,2908,17,CE,SP,17,2908
1074,2908,17,CE,SP,17,2908
1075,2908,17,CE,SP,17,2908
1076,2908,17,CE,SP,17,2908
2221,2887,4,CE,SP,4,2887
2222,2887,4,CE,SP,4,2887
2223,2887,4,CE,SP,4,2887
2224,2887,4,CE,SP,4,2887
2207,2865,39,AC,GO,39,2865
100,2862,0.35,PR,PA,0.35,2862
45,2839,0.14,RN,SP,0.14,2839
105,2820,0.39,PA,SP,0.39,2820
106,2820,0.39,PA,SP,0.39,2820
192,2816,0.8,PA,SP,0.8,2816
2240,2803,4.5,SP,PA,4.5,2803
2241,2803,4.5,SP,PA,4.5,2803
149,2802,0.52,PA,SP,0.52,2802
150,2802,0.52,PA,SP,0.52,2802
170,2781,0.62,RO,SP,0.62,2781
132,2773,0.48,PA,SP,0.48,2773
133,2773,0.48,PA,SP,0.48,2773
252,2762,1,RN,SP,1,2762
542,2729,5,PB,SP,5,2729
543,2729,5,PB,SP,5,2729
371,2724,2,BA,SC,2,2724
372,2724,2,BA,SC,2,2724
860,2720,12,PB,SP,12,2720
107,2687,0.39,MA,SP,0.39,2687
108,2687,0.39,MA,SP,0.39,2687
109,2687,0.39,MA,SP,0.39,2687
110,2687,0.39,MA,SP,0.39,2687
694,2651,10,SP,PB,10,2651
695,2651,10,SP,PB,10,2651
990,2634,14,SP,PE,14,2634
991,2634,14,SP,PE,14,2634
129,2627,0.46,PA,SP,0.46,2627
130,2627,0.46,PA,SP,0.46,2627
14,2617,0.07,PE,SP,0.07,2617
15,2617,0.07,PE,SP,0.07,2617
16,2617,0.07,PE,SP,0.07,2617
17,2617,0.07,PE,SP,0.07,2617
1112,2608,18,PE,SP,18,2608
1113,2608,18,PE,SP,18,2608
1114,2608,18,PE,SP,18,2608
1115,2608,18,PE,SP,18,2608
1116,2608,18,PE,SP,18,2608
1117,2608,18,PE,SP,18,2608
1118,2608,18,PE,SP,18,2608
1119,2608,18,PE,SP,18,2608
544,2600,5,PE,SP,5,2600
545,2600,5,PE,SP,5,2600
1046,2592,15,RO,SC,15,2592
1047,2592,15,RO,SC,15,2592
1048,2592,15,RO,SC,15,2592
1049,2592,15,RO,SC,15,2592
1050,2592,15,BA,SP,15,2592
1051,2592,15,BA,SP,15,2592
546,2589,5,SE,PR,5,2589
992,2573,14,PE,SP,14,2573
2175,2569,100,RJ,RN,100,2569
2176,2569,100,RJ,RN,100,2569
2177,2569,100,RJ,RN,100,2569
2178,2569,100,RJ,RN,100,2569
2179,2569,100,RJ,RN,100,2569
915,2558,13,PE,SP,13,2558
547,2527,5,SE,PR,5,2527
2180,2503,100,RJ,RN,100,2503
2181,2503,100,RJ,RN,100,2503
2182,2503,100,RJ,RN,100,2503
2183,2503,100,RJ,RN,100,2503
2184,2503,100,RJ,RN,100,2503
2185,2503,100,RJ,RN,100,2503
2186,2503,100,RJ,RN,100,2503
861,2443,12,MT,PR,12,2443
171,2432,0.64,PA,SP,0.64,2432
459,2432,3,PA,GO,3,2432
460,2432,3,PA,GO,3,2432
2187,2385,100,MG,RN,100,2385
2188,2385,100,MG,RN,100,2385
2189,2385,100,MG,RN,100,2385
2190,2385,100,MG,RN,100,2385
2191,2385,100,MG,RN,100,2385
2,2384,0.054,SP,AL,0.054,2384
3,2384,0.054,SP,AL,0.054,2384
4,2384,0.054,SP,AL,0.054,2384
5,2384,0.054,SP,AL,0.054,2384
66,2383,0.2,AL,SP,0.2,2383
67,2383,0.2,AL,SP,0.2,2383
68,2383,0.2,AL,SP,0.2,2383
440,2348,2.9,PA,SP,2.9,2348
441,2348,2.9,PA,SP,2.9,2348
993,2330,14,RJ,PE,14,2330
994,2330,14,RJ,PE,14,2330
696,2327,10,MA,SP,10,2327
253,2326,1,PA,SP,1,2326
2251,2326,4.8,PA,SP,4.8,2326
995,2323,14,PA,GO,14,2323
996,2317,14,PA,GO,14,2317
7,2312,0.06,MG,CE,0.06,2312
69,2301,0.2,RJ,PE,0.2,2301
2208,2264,39,RO,GO,39,2264
111,2192,0.39,PA,SP,0.39,2192
151,2192,0.535,PA,SP,0.535,2192
152,2192,0.535,PA,SP,0.535,2192
56,2177,0.185,PE,SP,0.185,2177
57,2177,0.185,PE,SP,0.185,2177
58,2177,0.185,PE,SP,0.185,2177
88,2166,0.3,PR,BA,0.3,2166
1065,2121,16.2,TO,SP,16.2,2121
208,2083,0.82,PA,SP,0.82,2083
112,2075,0.39,BA,SP,0.39,2075
862,2066,12,MA,MT,12,2066
863,2066,12,MA,MT,12,2066
697,1956,10,BA,SP,10,1956
737,1955,11,BA,SP,11,1955
738,1955,11,BA,SP,11,1955
739,1955,11,BA,SP,11,1955
740,1955,11,BA,SP,11,1955
70,1936,0.2,BA,SP,0.2,1936
78,1936,0.25,SP,MT,0.25,1936
373,1936,2,BA,SP,2,1936
374,1936,2,BA,SP,2,1936
375,1936,2,BA,SP,2,1936
376,1936,2,BA,SP,2,1936
377,1936,2,BA,SP,2,1936
461,1936,3,BA,SP,3,1936
558,1934,5.5,BA,SP,5.5,1934
559,1934,5.5,BA,SP,5.5,1934
18,1933,0.07,MT,SP,0.07,1933
346,1926,1.6,BA,SP,1.6,1926
155,1924,0.56,BA,SP,0.56,1924
156,1924,0.56,BA,SP,0.56,1924
157,1924,0.56,BA,SP,0.56,1924
158,1924,0.56,BA,SP,0.56,1924
2242,1924,4.5,MT,SP,4.5,1924
2243,1924,4.5,MT,SP,4.5,1924
2244,1924,4.5,MT,SP,4.5,1924
2245,1924,4.5,MT,SP,4.5,1924
2246,1924,4.5,MT,SP,4.5,1924
2247,1924,4.5,MT,SP,4.5,1924
178,1915,0.7,BA,SP,0.7,1915
179,1915,0.7,BA,SP,0.7,1915
180,1915,0.7,BA,SP,0.7,1915
318,1872,1.5,BA,SP,1.5,1872
595,1829,6,MS,RJ,6,1829
596,1829,6,MS,RJ,6,1829
